OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
1,08043979000,349.53,228.38,470.68,630.47,627.45,633.48,"Census Tract 9790, Fremont County, Colorado",FREMONT,Lower Than State Average
2,08045951600,227.13,157.71,296.55,630.47,627.45,633.48,"Census Tract 9516, Garfield County, Colorado",GARFIELD,Lower Than State Average
3,08069002803,0,0,0,630.47,627.45,633.48,"Census Tract 28.03, Larimer County, Colorado",LARIMER,Lower Than State Average
4,08125963200,370.44,296.69,444.18,630.47,627.45,633.48,"Census Tract 9632, Yuma County, Colorado",YUMA,Lower Than State Average
5,08069002401,750.6,364.93,1136.26,630.47,627.45,633.48,"Census Tract 24.01, Larimer County, Colorado",LARIMER,Not Different Than State Average
6,08069002402,545.6,394.73,696.47,630.47,627.45,633.48,"Census Tract 24.02, Larimer County, Colorado",LARIMER,Not Different Than State Average
7,08103951200,210.3,131.64,288.96,630.47,627.45,633.48,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average
8,08103951100,147.85,93.07,202.63,630.47,627.45,633.48,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average
9,08049000201,204.48,131.89,277.06,630.47,627.45,633.48,"Census Tract 2.01, Grand County, Colorado",GRAND,Lower Than State Average
10,08049000202,28.58,13.45,49.35,630.47,627.45,633.48,"Census Tract 2.02, Grand County, Colorado",GRAND,Lower Than State Average
11,08049000100,181.23,98.43,264.03,630.47,627.45,633.48,"Census Tract 1, Grand County, Colorado",GRAND,Lower Than State Average
12,08081000600,275.18,162.95,387.4,630.47,627.45,633.48,"Census Tract 6, Moffat County, Colorado",MOFFAT,Lower Than State Average
13,08081000500,529.9,426.63,633.16,630.47,627.45,633.48,"Census Tract 5, Moffat County, Colorado",MOFFAT,Not Different Than State Average
14,08081000400,494.08,395.01,593.14,630.47,627.45,633.48,"Census Tract 4, Moffat County, Colorado",MOFFAT,Lower Than State Average
15,08081000300,397.54,289.55,505.52,630.47,627.45,633.48,"Census Tract 3, Moffat County, Colorado",MOFFAT,Lower Than State Average
16,08057955600,99.71,37.84,190.93,630.47,627.45,633.48,"Census Tract 9556, Jackson County, Colorado",JACKSON,Lower Than State Average
17,08121924100,383.77,258.32,509.22,630.47,627.45,633.48,"Census Tract 9241, Washington County, Colorado",WASHINGTON,Lower Than State Average
18,08107000800,171.72,91.52,251.92,630.47,627.45,633.48,"Census Tract 8, Routt County, Colorado",ROUTT,Lower Than State Average
19,08107000700,167.08,111.21,222.96,630.47,627.45,633.48,"Census Tract 7, Routt County, Colorado",ROUTT,Lower Than State Average
20,08107000500,194.58,118.65,270.5,630.47,627.45,633.48,"Census Tract 5, Routt County, Colorado",ROUTT,Lower Than State Average
21,08107000200,49.43,14.65,104.73,630.47,627.45,633.48,"Census Tract 2, Routt County, Colorado",ROUTT,Lower Than State Average
22,08107000400,205.93,126.28,285.58,630.47,627.45,633.48,"Census Tract 4, Routt County, Colorado",ROUTT,Lower Than State Average
23,08107000600,185.52,113.5,257.54,630.47,627.45,633.48,"Census Tract 6, Routt County, Colorado",ROUTT,Lower Than State Average
24,08107000300,108.38,54.37,180.8,630.47,627.45,633.48,"Census Tract 3, Routt County, Colorado",ROUTT,Lower Than State Average
25,08107000100,76.88,30.55,144.19,630.47,627.45,633.48,"Census Tract 1, Routt County, Colorado",ROUTT,Lower Than State Average
26,08051963900,119.15,38.23,244.77,630.47,627.45,633.48,"Census Tract 9639, Gunnison County, Colorado",GUNNISON,Lower Than State Average
27,08051963700,273.73,203.32,344.14,630.47,627.45,633.48,"Census Tract 9637, Gunnison County, Colorado",GUNNISON,Lower Than State Average
28,08051963600,213.18,147.58,278.78,630.47,627.45,633.48,"Census Tract 9636, Gunnison County, Colorado",GUNNISON,Lower Than State Average
29,08051963800,53.42,26.16,80.68,630.47,627.45,633.48,"Census Tract 9638, Gunnison County, Colorado",GUNNISON,Lower Than State Average
30,08021974900,223.09,159.56,286.61,630.47,627.45,633.48,"Census Tract 9749, Conejos County, Colorado",CONEJOS,Lower Than State Average
31,08021974800,78.67,37.55,119.79,630.47,627.45,633.48,"Census Tract 9748, Conejos County, Colorado",CONEJOS,Lower Than State Average
