FIPS State Code,FIPS County Code,year,measure_1_value,measure_2_value,measure_3_value,measure_4_value,measure_5_value,measure_7_value,measure_9_value,measure_11_value,measure_14_value,measure_15_value,measure_21_value,measure_23_value,measure_24_value,measure_36_value,measure_37_value,measure_39_value,measure_42_value,measure_43_value,measure_44_value,measure_45_value,measure_49_value,measure_50_value,measure_51_value,measure_52_value,measure_53_value,measure_54_value,measure_55_value,measure_56_value,measure_57_value,measure_58_value,measure_59_value,measure_60_value,measure_61_value,measure_62_value,measure_63_value,measure_65_value,measure_67_value,measure_69_value,measure_70_value,measure_80_value,measure_81_value,measure_82_value,measure_83_value,measure_85_value,measure_86_value,measure_88_value,measure_122_value,measure_124_value,measure_125_value,measure_126_value,measure_127_value,measure_128_value,measure_129_value,measure_131_value,measure_132_value,measure_133_value,measure_134_value,measure_135_value,measure_136_value,measure_137_value,measure_138_value,measure_139_value,measure_140_value,measure_141_value,measure_142_value,measure_143_value,measure_144_value,measure_145_value,measure_146_value,measure_148_value,measure_149_value,measure_6_value,measure_8_value,measure_10_value,measure_13_value,measure_16_value,measure_17_value,measure_18_value,measure_19_value,measure_20_value,measure_25_value,measure_26_value,measure_27_value,measure_31_value,measure_32_value,measure_35_value,measure_47_value,measure_97_value,measure_99_value,measure_103_value,measure_104_value,measure_105_value,measure_106_value,measure_107_value,measure_108_value,measure_116_value,measure_117_value,measure_118_value,measure_119_value,measure_120_value,measure_121_value,measure_123_value,measure_1_numerator,measure_2_numerator,measure_3_numerator,measure_4_numerator,measure_5_numerator,measure_7_numerator,measure_9_numerator,measure_11_numerator,measure_14_numerator,measure_15_numerator,measure_21_numerator,measure_23_numerator,measure_24_numerator,measure_36_numerator,measure_37_numerator,measure_39_numerator,measure_42_numerator,measure_43_numerator,measure_44_numerator,measure_45_numerator,measure_49_numerator,measure_50_numerator,measure_51_numerator,measure_52_numerator,measure_53_numerator,measure_54_numerator,measure_55_numerator,measure_56_numerator,measure_57_numerator,measure_58_numerator,measure_59_numerator,measure_60_numerator,measure_61_numerator,measure_62_numerator,measure_63_numerator,measure_65_numerator,measure_67_numerator,measure_69_numerator,measure_70_numerator,measure_80_numerator,measure_81_numerator,measure_82_numerator,measure_83_numerator,measure_85_numerator,measure_86_numerator,measure_88_numerator,measure_122_numerator,measure_124_numerator,measure_125_numerator,measure_126_numerator,measure_127_numerator,measure_128_numerator,measure_129_numerator,measure_131_numerator,measure_132_numerator,measure_133_numerator,measure_134_numerator,measure_135_numerator,measure_136_numerator,measure_137_numerator,measure_138_numerator,measure_139_numerator,measure_140_numerator,measure_141_numerator,measure_142_numerator,measure_143_numerator,measure_144_numerator,measure_145_numerator,measure_146_numerator,measure_148_numerator,measure_149_numerator,measure_6_numerator,measure_8_numerator,measure_10_numerator,measure_13_numerator,measure_16_numerator,measure_17_numerator,measure_18_numerator,measure_19_numerator,measure_20_numerator,measure_25_numerator,measure_26_numerator,measure_27_numerator,measure_31_numerator,measure_32_numerator,measure_35_numerator,measure_47_numerator,measure_97_numerator,measure_99_numerator,measure_103_numerator,measure_104_numerator,measure_105_numerator,measure_106_numerator,measure_107_numerator,measure_108_numerator,measure_116_numerator,measure_117_numerator,measure_118_numerator,measure_119_numerator,measure_120_numerator,measure_121_numerator,measure_123_numerator,measure_1_denominator,measure_2_denominator,measure_3_denominator,measure_4_denominator,measure_5_denominator,measure_7_denominator,measure_9_denominator,measure_11_denominator,measure_14_denominator,measure_15_denominator,measure_21_denominator,measure_23_denominator,measure_24_denominator,measure_36_denominator,measure_37_denominator,measure_39_denominator,measure_42_denominator,measure_43_denominator,measure_44_denominator,measure_45_denominator,measure_49_denominator,measure_50_denominator,measure_51_denominator,measure_52_denominator,measure_53_denominator,measure_54_denominator,measure_55_denominator,measure_56_denominator,measure_57_denominator,measure_58_denominator,measure_59_denominator,measure_60_denominator,measure_61_denominator,measure_62_denominator,measure_63_denominator,measure_65_denominator,measure_67_denominator,measure_69_denominator,measure_70_denominator,measure_80_denominator,measure_81_denominator,measure_82_denominator,measure_83_denominator,measure_85_denominator,measure_86_denominator,measure_88_denominator,measure_122_denominator,measure_124_denominator
0,0,2018,6658.1139453,,0.1320808199,0.0007548033,49.45,0.8516254509,,0.28,26.950264847,5.2659615657,,0.048690359,0.195,,0.0807168866,11.060430044,,379.85448908,4.9602801667,478.8,,0.6305847461,323127513,0.2279047188,0.1523986446,0.1244995687,0.0125481392,0.1778563715,0.5076899472,,0.044862396,0.1,362.3,0.0021424669,57617,0.5229995539,0.7640731322,0.6473941254,0.23,0.002387525,0.05669131,0.3356424012,0.0590124246,0.1092169375,9728.93,0.000673604,0.0504799289,,,0.6126671361,336.4,50.441000724,5.9689237638,0.000812184,0.8309343567,7.7,0.29279146,64.582096094,0.1876221219,0.347,16.928630505,0.134,9.2945397535,,,,,,19.7851,11.026226835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537400,,25700940,242608,,,,66333280,1964545,116577,,7729204,14115713,,2237637,244854,,1201479.6667,111894,1526658,,,,,,40229236,4054649,57470287,,,13400003,23660542,971524,692290,,25522282,111448640,54346346,54570048,771475,18318522,24453158,18219455.594,29165227,,217660,3847430,,,197969608,3643483,148527,165471,262439,256547275,0.0590124246,50467,1029081,21803791,,163091,42238000,298744,,,,,,63632,175697,5581588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896862151,,194584952,321418820,22488201.8,3314834,,236737621.94,72895202,2213783723,,158741980,,,27722043,2213783723,,316299978.33,22558,318857056,,2395946,,,,323127513,323127513,323127513,,,298691202,236830450.12,268159414,323127513,,48799816,145861221,83946307,236755955.65,323127513,323127513,72854794,308739316,267039414,26310812,323127513,76217025,
1,0,2018,9642.4120328,0.2140240566,0.1525231921,0.0006515772,62.02,0.8496025604,0.215381544,0.347,35.553834999,8.8346964409,0.8932253684,0.059870092,0.247,4.4004575204,0.1014869718,19.115715801,4.577366748,436.02528817,5.2657744875,543.6,0.1417814586,0.6278845562,4863300,0.2255306068,0.1613207082,0.2648989369,0.0069771554,0.0419149549,0.5156404088,0.409631829,0.0113796235,0.137,302.4,0.0008440771,46309,0.510895535,0.857281392,0.5958281283,0.29,0.0010420908,0.0141599326,0.3808951569,0.0792142495,0.1189813381,10260.56,0.0004675837,0.0309004993,0.0746268657,10.1,0.6583877203,468.7,72.793164457,8.6818473769,0.0006738223,0.6281895067,5.6,0.2589245368,76.991337205,0.1545700056,0.334,15.200743141,0.177,12.270067436,57.20440843,51.550232807,0.3772095459,0.1401604896,0.1454883116,16.2075,18.615286056,0.1710281799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76851,,443553,3166,,,,1252859,39767,2987,48674.53,129835,267674,,42022,6463,,21082,92467,26359,,,,,,1288283,33932,203845,,1957932,51759,495648,12316,4105,,379554,1727392,734525,1047372,5068,68864,417439,378623.20017,475233,,2274,35299,,,3201937,78721,3217,3582,3277,3002580,0.0792142495,1146,18653,284745,,2215,859380,5962,,,,,,756,4510,104274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13617223,,2908102,4858979,404987.3,76238,,3614246.1601,1118501,33809877,54493,2168612,,,414063,33809877,,4835040.6667,17560,4849377,,48751,,,,4863300,4863300,4863300,,4779736,4548393,3608536.5469,4072525,4863300,,742919,2014965,1232780,3613686.2835,4863300,4863300,1095942,4779736,3994181,501072,4863300,1142344,
1,1,2018,9409.2947663,0.1841112436,0.1219309197,0.0004516957,81.85,0.8396624473,0.191246585,0.364,27.99675827,3.6198533442,0.9,0.0527116067,0.193,4.2005779826,0.0859463118,20.167754346,4.3067392835,265.6997471,4.3883461572,341.2,0.1687801512,0.6269315673,55416,0.2440811318,0.1472859824,0.1904865021,0.0048541937,0.0268875415,0.5128843655,0.4200216232,0.0083273898,0.124,225.5,0.0001263173,54487,0.4847538766,0.8675006172,0.6194201886,0.309,0.0010105385,0.0114046485,0.2447140885,0.11991125,0.0938771186,10674.34,0.0003248159,0.0259531305,0,10.8,0.75,449.6,56.186903014,7.7185017026,0.0002887253,0.7112019204,7.1,0.2678571429,72.584664052,0.1521792662,0.408,10.231225701,0.139,13.912226498,26.3470479,24.000912313,0.3590540606,0.1282443447,0.1263835707,5,16.972533385,0.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,,4102,25,,,,14598,380,14,635.4,1352,2588,,381,78,,145.33333333,101520,189,,,,,,10556,269,1490,,22921,432,4982,103,7,,4658,21082,8867,12403,56,632,3368,6543.6768239,4431,,18,371,,,41562,827,31,34,16,38811,0.11991125,15,201,3090,,17,7680,77,,,,,,,47,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156697,,33642,55347,3834,711,,40104.395604,13573,386756,706,25649,,,4433,386756,,54698.333333,23134,55395,,453,,,,55416,55416,55416,,54571,51877,40177.419355,45684,55416,,9609,24302,14315,40139.158576,55416,55416,13763,54571,47200,4784,55416,14295,
1,3,2018,7467.5966638,0.1806045782,0.1471986088,0.0007265266,46.3,0.8321223709,0.1679548515,0.293,31.965137793,2.7052815138,0.85,0.0541526281,0.176,4.0987477691,0.0848029046,15.281184767,4.2496487805,216.77307832,4.6007352282,338.8,0.1671496869,0.659652333,208563,0.2173443995,0.1970819369,0.0904283118,0.0077099006,0.0441641135,0.5145783289,0.4227909911,0.0081880922,0.111,163.9,0.0008918169,56460,0.4579548026,0.8464604333,0.6375709972,0.245,0.0005945446,0.0107497495,0.2581144092,0.054244266,0.1152439661,9537.12,0.0004938556,0.0327343851,0,9.6,0.832021979,351.3,47.688777428,5.5454070981,0.000436319,0.6851891477,7.9,0.3037974684,71.492010217,0.1431015604,0.401,18.452504397,0.13,11.045167371,43.96994085,30.674915164,0.3330586814,0.1262200157,0.1282255819,10,14.71894328,0.1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,,17437,148,,,,44368,1313,37,1900.6,4870,7881,,1308,209,,414.66666667,102624,678,,,,,,18860,1608,9211,,77060,1540,16754,282,186,,14165,73058,30196,37036,124,2242,11348,9886.831137,18751,,103,1523,,,173529,2753,85,85,91,124886,0.054244266,48,714,10455,,113,25350,225,,,,,,,147,3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554671,,118459,203709,18797.3,2615,,151426.62116,41076,1367695,2236,89931,,,15424,1367695,,191290.66667,22306,200111,,2186,,,,208563,208563,208563,,182265,188078,150936.93694,172008,208563,,30931,86310,47361,151167.34694,208563,208563,43965,182265,162707,23220,208563,46526,
1,5,2018,8929.4749816,0.2577341563,0.1740155086,0.0004152667,58.44,0.8914285714,0.2154087757,0.442,50.189205338,8.5018650967,0.8617346939,0.0864851843,0.396,5.0674383044,0.1174129353,18.597829899,4.634994147,328.65907099,5.8616600791,557.9,0.1269871542,0.6303030303,25965,0.2113614481,0.1801656075,0.475139611,0.0063161949,0.0421336414,0.4693240901,0.677896347,0.0151936998,0.182,436,0.0000770268,32884,0.6630261055,0.8278492542,0.3972366149,0.306,0.0017331023,0.0045060659,0.5630148992,0.1073966657,0.1331045208,9790.62,0.0003466205,0.0363415058,0,10.1,0.4645099172,433.6,66.595631327,,0.0002695937,0.5284262665,5.5,0.3571428571,66.607792363,0.1525423729,0.351,,0.234,7.9278190947,25.589449742,22.356765237,0.3856316713,0.1621615961,0.1463231059,4,14.219641066,0.3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,2289,11,,,,9100,252,16,211.125,718,2146,,236,35,,85,74150,150,,,,,,12337,164,1094,,18613,382,3740,97,2,,2489,7271,2760,6292,45,117,3212,2948.790251,2482,,9,209,,,12061,418,15,15,7,14509,0.1073966657,10,89,1395,,,6290,21,,,,,,,19,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75161,,13154,26489,2433,525,,20588.235294,5021,188194,245,8302,,,2010,188194,,25862.666667,12650,26887,,330,,,,25965,25965,25965,,27457,25142,20549.450549,22247,25965,,3754,8783,6948,20562.091503,25965,25965,5705,27457,18647,3088,25965,5751,
1,7,2018,11741.938889,0.1999691186,0.1507056854,0.0005313732,92.87,0.8198198198,0.1991640424,0.384,47.260273973,8.2007544694,0.85,0.0663711653,0.275,4.3633772783,0.1125827815,27.125572476,4.3157100192,147.29089953,4.2281268195,302.1,0.1592515079,0.6130653266,22643,0.2075255046,0.1543081747,0.2161816014,0.0037980833,0.0249966877,0.4636311443,0.6835260746,0.0044813743,0.146,191.9,0.0000883275,43079,0.6131848284,0.8507246377,0.4982137057,0.375,0.0011924215,0.0019873692,0.314279643,0.0260162701,0.1185588115,10755.78,0.0002208188,0.0314125234,0,10.5,0.7441593428,529.1,116.31595643,14.775413712,0.0007507839,0.4859262492,7.6,0.275862069,95.709892681,0.1235875706,0.488,22.146105238,0.161,10.627463136,43.487327897,42.1680096,0.381488654,0.1316296828,0.1285403606,8,21.26886504,0.2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,1890,12,,,,6677,207,13,222.7,569,1263,,204,43,,32.666666667,79882,68,,,,,,4895,86,566,,15663,96,2536,37,2,,2037,7044,3068,6514,27,45,1479,596.16282881,2027,,5,151,,,16850,408,22,25,17,11135,0.0260162701,8,108,875,,15,3650,24,,,,,,,24,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63624,,12541,22583,1459.5,333,,17388.020833,4380,158522,262,8573,,,1812,158522,,22178.333333,18893,22506,,199,,,,22643,22643,22643,,22915,21422,17369.863014,19282,22643,,3322,8280,6158,17370.666667,22643,22643,4706,22915,17097,1823,22643,4807,
1,9,2018,9359.1223433,0.2109532316,0.1769911504,0.0002080696,57.82,0.8765957447,0.1965215818,0.358,39.624777616,6.1912910823,0.9120625,0.0552089704,0.194,4.5127526482,0.0779166667,22.53629954,4.7015992588,211.59883621,4.0682368906,114.3,0.1537872189,0.5958429561,57704,0.2319076667,0.1798662138,0.0143490919,0.0062733953,0.0906869541,0.5061347567,0.8995150204,0.0187850605,0.144,95.4,0.0000866491,47213,0.545201669,0.8610772834,0.5386645741,0.29,0.0011264384,0.0026514626,0.2729423944,0.0288014982,0.1396365941,10326.33,0.000190628,0.0448953162,0,11.3,0.8746707334,480.2,55.375073833,5.2943667937,0.0001213087,0.3227207704,8.5,0.2,104.57280968,0.1105803678,0.602,21.375421731,0.113,8.8429594438,39.938703301,24.226299014,0.3594501042,0.1372005681,0.138279427,8,19.044716996,0.1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,,6040,12,,,,15306,490,25,656.685,1354,2568,,374,91,,122.66666667,83944,66,,,,,,828,362,5233,,51562,1018,6172,46,5,,5096,18384,7551,12429,65,153,3691,1650.9594817,6609,,11,624,,,50472,996,30,25,7,18499,0.0288014982,11,302,2315,,37,6510,51,,,,,,,55,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161625,,34126,57673,4188,705,,42754.189944,12366,403793,720,24525,,,4800,403793,,57971.333333,20634,57719,,433,,,,57704,57704,57704,,57322,54192,42861.111111,48215,57704,,9347,21350,14018,42858.62069,57704,57704,13523,57322,47330,5167,57704,13899,
1,11,2018,12343.052871,0.2940771388,0.191509434,0.0002804787,67.02,0.858490566,0.2347829118,0.402,65.835411471,,0.875,0.0717106631,0.457,5.2266193898,0.1472708548,48.39295076,4.7919184772,302.28603816,6.0466439135,733.9,0.1289631731,0.6,10362,0.2129897703,0.1625168886,0.6927234125,0.0090716078,0.077880718,0.4595637908,0.5137438153,0.0095756476,0.195,691.3,0.0000965065,34278,0.6717607973,0.7644657863,0.3371607516,0.298,0.0073344914,0.0026056746,0.7192595857,0.1974335074,0.1450443191,10314.38,0.0001930129,0.0321302817,0,9.8,0.2153059255,581.5,133.92857143,,0.0007720517,0.2219168041,4.5,0.6666666667,109.56833853,0.1802403204,0.377,,0.244,9.349289454,19.765668547,19.113122955,0.4502063587,0.1663247935,0.1484005471,5,,0.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,1015,3,,,,3338,132,,105.875,345,995,,143,36,,32,63780,79,,,,,,7178,94,807,,5607,95,1619,61,1,,1011,3184,969,2475,76,27,1632,2154.7892998,1080,,2,73,,,2231,209,12,11,8,2422,0.1974335074,16,58,675,,,2610,10,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30065,,5300,10696,889.5,212,,8303.4825871,2005,,121,4811,,,971,74391,,10586,10548,10764,,110,,,,10362,10362,10362,,10914,9921,8302.5641026,8823,10362,,1505,4165,2874,8305.3691275,10362,10362,2269,10914,7446,1097,10362,2272,
1,13,2018,12779.304852,0.265026132,0.1603967168,0.0003473256,93.13,0.8070500928,0.2219765552,0.36,43.457723193,16.127109671,0.83,0.0712877792,0.366,5.1174326174,0.1161587119,21.035360441,5.1345730819,523.43993568,5.05293385,827.7,0.1304281127,0.6236162362,19998,0.2357235724,0.1902190219,0.4410441044,0.00380038,0.0131013101,0.5338533853,0.7123215735,0.0087038591,0.175,268.4,0.000250025,35409,0.7263157895,0.850864647,0.4222176676,0.339,0.00050005,0.0107510751,0.5090444775,0.0292612193,0.1224264706,10176.13,0.00030003,0.0275041051,0,9.4,0.5221522152,602.7,100.23211648,,0.000550055,0.4604000573,6.5,0.275,97.010492972,0.1483949122,0.317,,0.22,10.915947207,30.056623638,29.094626128,0.419110839,0.1619792823,0.1547420506,5,30.686992675,0.2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,1876,7,,,,5407,184,23,195.05,651,1708,,202,30,,106.33333333,73025,168,,,,,,8820,76,262,,14921,166,2637,45,5,,2277,6544,2060,5095,10,215,2392,612.93476079,1998,,6,134,,,10442,422,19,16,11,9644,0.0292612193,11,98,1225,,,4480,22,,,,,,,31,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55595,,11696,20154,2337.8,539,,15019.444444,4234,142617,235,9132,,,1739,142617,,20314.333333,14452,20296,,271,,,,19998,19998,19998,,20947,19072,15068.571429,16767,19998,,3135,7691,4879,15029.498525,19998,19998,4699,20947,16320,2978,19998,4872,
1,15,2018,11527.781204,0.1958470142,0.1451450298,0.0006486767,72.8,0.8127009646,0.2046223175,0.361,39.711727776,9.1850081073,0.9216337386,0.0669738394,0.257,4.2904480661,0.087667162,17.022881692,4.4765721664,574.32355552,4.8616092496,587.5,0.1543167701,0.568954458,114611,0.2183036532,0.1688057865,0.2073448447,0.0052001989,0.0357731806,0.5189117973,0.3369682556,0.0070962196,0.163,211.2,0.0009423179,41778,0.5886834115,0.8498591611,0.5674352386,0.325,0.0009859438,0.009196325,0.3838057319,0.0917856658,0.1139686808,10901.19,0.0006020365,0.0289184061,0,11.6,0.7262391917,564.3,77.28958156,8.7597478902,0.0005060596,0.4821711703,6.8,0.2285714286,74.115057594,0.15292172,0.294,15.600308539,0.174,14.01141671,46.984796215,41.778342224,0.4131434398,0.1302095258,0.138065685,6,22.234517278,0.1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,,10078,75,,,,31447,1069,75,1212.87,3067,6313,,826,139,,673,82414,681,,,,,,23764,596,4100,,39955,776,14201,206,108,,10664,38921,16341,28385,113,1054,9736,10883.209969,10764,,69,762,,,83235,2286,79,82,58,57172,0.0917856658,16,430,6935,,54,20280,162,,,,,,,129,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325156,,69434,115620,12611.3,2488,,87110.803324,26919,816548,1316,45794,,,9422,816548,,117181.33333,16952,115916,,1559,,,,114611,114611,114611,,118572,109354,87122.699387,97519,114611,,18115,45797,28798,87338.461538,114611,114611,25367,118572,94447,15674,114611,26350,
